dim,w,c,f_name
10,"[0.8496 ,0.02081,0.01384,0.22782,0.4951 ,0.90836,0.75167,0.34004,0.25266, 0.69768]","[0.55305,0.02568,1.52945,1.04384,0.81528,0.30606,1.93468,1.70631,0.40143, 1.68422]",ZHOU
10,"[0.255  ,0.98272,0.2519 ,0.15094,0.73604,0.32316,0.648  ,0.79058,0.07457, 0.73979]","[0.89876,0.85979,1.63866,0.8942 ,0.66412,1.3663 ,0.52874,1.45761,0.66987, 1.02195]",ZHOU
10,"[0.33811,0.95265,0.92972,0.8034 ,0.61587,0.584  ,0.72896,0.78624,0.9809 , 0.26077]","[1.70467,0.81705,0.75848,0.0657 ,0.73716,1.40038,0.85281,1.77927,0.52191, 1.36254]",ZHOU
10,"[0.65648,0.98773,0.58712,0.26812,0.5919 ,0.99796,0.07685,0.63115,0.10785, 0.79241]","[1.81647,1.24325,0.99856,1.34984,0.15007,0.12991,1.60892,0.73667,1.66554, 0.30077]",ZHOU
10,"[0.18098,0.21845,0.07003,0.15069,0.22397,0.04748,0.42613,0.99284,0.9267 , 0.36593]","[0.23179,1.39634,0.74373,1.02317,0.79638,0.49425,0.96165,1.65229,1.03916, 1.66123]",ZHOU
10,"[0.31535,0.12657,0.83538,0.47829,0.88551,0.76296,0.7533 ,0.53663,0.04202, 0.83409]","[1.19079,0.18849,1.035  ,1.53412,1.30832,0.36566,0.10483,1.69044,1.93789, 0.64446]",ZHOU
10,"[0.12824,0.22399,0.27766,0.55415,0.00901,0.24888,0.85034,0.40435,0.72156, 0.47473]","[1.86188,1.60504,1.81423,0.26423,0.28078,0.57812,0.20245,1.1293 ,0.604  , 1.65999]",ZHOU
10,"[0.80343,0.66252,0.41003,0.22569,0.13867,0.5947 ,0.62696,0.46172,0.40653, 0.63415]","[0.73372,0.94779,0.4494 ,0.782  ,1.96689,0.45832,1.11595,0.35512,1.89941, 1.2914 ]",ZHOU
10,"[0.81338,0.06882,0.2053 ,0.5268 ,0.93658,0.2655 ,0.75014,0.42444,0.70614, 0.95289]","[0.93078,0.13994,1.85125,1.03589,1.76937,0.99688,1.30099,1.30172,0.37354, 0.29965]",ZHOU
10,"[0.32925,0.74629,0.55337,0.29085,0.84536,0.56405,0.38018,0.58268,0.00778, 0.73575]","[0.37066,1.60518,1.55722,0.73021,1.63887,1.3812 ,0.14763,1.63993,0.11682, 0.81228]",ZHOU
10,"[0.2423 ,0.02008,0.50341,0.52256,0.23397,0.00246,0.02765,0.00853,0.01821, 0.68402]","[1.04682,0.76604,0.6381 ,0.76573,0.74382,2.03206,0.45305,1.59947,1.94553, 0.00938]",ZHOU
10,"[0.74676,0.80569,0.35419,0.4168 ,0.63254,0.35081,0.84946,0.86243,0.75216, 0.68505]","[0.07785,0.95887,1.03597,1.66957,0.33123,0.142  ,1.50648,1.10978,1.21071, 1.95753]",ZHOU
10,"[0.7402 ,0.78498,0.77103,0.94898,0.90578,0.04958,0.76103,0.50009,0.19722, 0.45188]","[0.90772,1.65367,1.27761,0.99587,0.89677,0.27877,0.6632 ,1.39442,0.2938 , 1.63815]",ZHOU
10,"[0.0262 ,0.00079,0.30895,0.30753,0.87292,0.26824,0.92716,0.89052,0.24921, 0.71343]","[0.78681,1.01012,0.99093,1.61469,1.24811,0.51677,1.45853,0.70339,1.08354, 0.58711]",ZHOU
10,"[0.42436,0.41735,0.84133,0.30525,0.49159,0.36975,0.02403,0.00036,0.81587, 0.70233]","[0.85788,1.3733 ,0.84602,1.21215,0.39335,1.1701 ,0.55904,0.96725,1.56518, 1.05572]",ZHOU
10,"[0.32399,0.33398,0.53836,0.58698,0.57488,0.51608,0.34903,0.7036 ,0.69131, 0.70896]","[0.85341,0.44254,1.16463,1.47507,0.40759,1.66668,0.13486,1.53379,1.80624, 0.51518]",ZHOU
