dim,scale,method,w,c,sum_c,grid_type,basis_type,method_type,n_samples,seed,f_name,ell_2_error,ell_infty_error,datetime,needed_time
10,1,Smolyak,"[0.37454,0.95071,0.73199,0.59866,0.15602,0.15599,0.05808,0.86618,0.60112, 0.70807]","[0.04687,2.20842,1.89542,0.48348,0.414  ,0.4176 ,0.69274,1.19484,0.98351, 0.66311]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.29751511038631745,0.5668324683400274,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.61185,0.13949,0.29214,0.36636,0.45607,0.78518,0.19967,0.51423,0.59241, 0.04645]","[1.07367,0.30136,0.11496,1.6769 ,1.7065 ,1.42863,0.53832,0.17261,1.2092 , 0.77785]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5354595134588003,1.505742223562173,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.12204,0.49518,0.03439,0.90932,0.25878,0.66252,0.31171,0.52007,0.54671, 0.18485]","[1.5166 ,1.21244,1.46954,1.39966,0.93522,1.44197,0.13842,0.30655,0.07074, 0.50887]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6951293329019854,1.8130484269149159,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.38868,0.27135,0.82874,0.35675,0.28093,0.5427 ,0.14092,0.8022 ,0.07455, 0.98689]","[1.52837,0.39328,0.01093,1.6139 ,1.39896,1.4428 ,1.52644,0.14654,0.70945, 0.22932]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3351066093766651,0.7252147852395834,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.8631 ,0.6233 ,0.3309 ,0.06356,0.31098,0.32518,0.72961,0.63756,0.88721, 0.47221]","[0.23902,1.42546,1.52047,1.12174,1.54082,0.98688,1.04471,0.85447,0.0508 , 0.21563]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.4667138914744207,1.6624648822173427,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.03143,0.63641,0.31436,0.50857,0.90757,0.24929,0.41038,0.75555,0.2288 , 0.07698]","[0.4264 ,0.23725,1.36814,1.18923,0.93212,1.28244,1.18268,0.27456,1.31349, 0.7937 ]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3015171529974274,0.8717498549580845,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.80744,0.89609,0.318  ,0.11005,0.22794,0.42711,0.81801,0.86073,0.00695, 0.51075]","[0.7635 ,0.40627,0.21925,0.61755,1.72472,0.59118,0.94894,1.28592,0.66513, 1.77753]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.4868686439467063,0.9581657519820205,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.96245,0.25178,0.49725,0.30088,0.28484,0.03689,0.60956,0.50268,0.05148, 0.27865]","[1.51112,0.39857,0.24107,0.81432,1.63987,0.40272,1.11826,1.26714,0.39537, 1.21156]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.39383993384785276,1.118506856089941,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.36778,0.63231,0.63353,0.53577,0.09029,0.8353 ,0.32078,0.18652,0.04078, 0.59089]","[1.3846 ,0.0339 ,1.04646,0.46284,1.31841,0.35632,1.41193,0.79029,1.91421, 0.28102]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3626823134504304,0.8171182109644969,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.34107,0.11347,0.92469,0.87734,0.25794,0.65998,0.81722,0.5552 ,0.52965, 0.24185]","[0.12887,1.2419 ,1.24633,0.87632,0.46927,0.48336,1.00484,1.24175,1.22788, 1.07948]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.34313827892629356,0.6775066220623275,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.64203,0.08414,0.16163,0.89855,0.60643,0.0092 ,0.10147,0.6635 ,0.00506, 0.16081]","[0.8761 ,1.10467,1.04091,0.35806,1.13705,0.37879,0.51953,1.19184,1.03719, 1.35586]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.7065658618173024,1.9659987171437099,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.65761,0.56831,0.09367,0.36772,0.2652 ,0.24399,0.97301,0.3931 ,0.89205, 0.63114]","[1.62124,1.02527,1.17676,1.00463,0.39825,1.47364,0.57271,0.0496 ,1.31662, 0.36127]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.6095436842815625,1.5475347650820355,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.94046,0.95393,0.91486,0.37016,0.01546,0.92832,0.42818,0.96665,0.96362, 0.85301]","[0.54379,0.71119,1.57187,0.58529,0.31302,1.02829,1.72888,1.28542,1.05278, 0.17946]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.21673611893815034,0.40829150515660606,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.61501,0.99005,0.14008,0.51833,0.87737,0.74077,0.69702,0.70248,0.35949, 0.29359]","[0.98989,0.99081,1.06047,1.11694,0.6254 ,0.61338,0.97635,0.79494,0.85854, 0.97329]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.596457392397244,1.7345502575086478,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.89001,0.338  ,0.37558,0.09398,0.57828,0.03594,0.4656 ,0.54264,0.28654, 0.59083]","[0.07638,0.09353,2.05994,0.90198,0.31818,1.30779,1.9282 ,0.54045,1.55983, 0.21373]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.3181905535412674,0.7936276131656389,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.05168,0.53135,0.54064,0.63743,0.72609,0.97585,0.5163 ,0.32296,0.79519, 0.27083]","[0.98123,0.17537,0.05667,2.15181,1.86866,1.55571,0.91413,0.38736,0.34968, 0.55937]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.44149950490808765,1.256353432405435,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.54923,0.7146 ,0.6602 ,0.27993,0.95487,0.7379 ,0.55435,0.61172,0.4196 , 0.24773]","[0.92537,1.97006,0.03742,0.30174,0.11959,0.10588,2.22381,1.82919,1.23264, 0.25432]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.5178180343972308,1.313217232490092,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.49162,0.47347,0.1732 ,0.43385,0.3985 ,0.61585,0.63509,0.0453 ,0.37461, 0.62586]","[0.90164,1.53486,1.1804 ,0.29198,0.12646,1.15124,0.04751,1.04973,1.68492, 1.03127]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.2973443017136485,1.0690058916470901,2025-06-29 14:48:51.661978,0.009
10,1,Smolyak,"[0.38817,0.64329,0.45825,0.54562,0.94146,0.3861 ,0.96119,0.90535,0.19579, 0.06936]","[0.27898,0.05044,0.26145,1.89077,0.19707,0.88302,2.33887,0.06442,2.2547 , 0.78026]",9.0,SPARSE,CHEBYSHEV,TASMANIAN,21,42,BNR_OSCILLATORY,0.46497086398609583,0.9700424711205983,2025-06-29 14:48:51.661978,0.009
