dim,scale,method,w,c,sum_c,grid_type,basis_type,method_type,n_samples,seed,f_name,ell_2_error,ell_infty_error,needed_time
11,1,Smolyak,"[0.37454,0.95071,0.73199,0.59866,0.15602,0.15599,0.05808,0.86618,0.60112, 0.70807,0.02058]","[2.27803,1.95516,0.49872,0.42705,0.43076,0.71457,1.2325 ,1.01451,0.68401, 1.43706,0.32763]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0288542887444907,0.5460259815282608,0.232
11,1,Smolyak,"[0.29214,0.36636,0.45607,0.78518,0.19967,0.51423,0.59241,0.04645,0.60754, 0.17052,0.06505]","[1.79636,1.82806,1.53039,0.57667,0.18491,1.29534,0.83326,0.23103,0.93743, 0.0651 ,1.72145]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0811210925968411,0.5487928264911462,0.232
11,1,Smolyak,"[0.25878,0.66252,0.31171,0.52007,0.54671,0.18485,0.96958,0.77513,0.9395 , 0.89483,0.5979 ]","[2.38824,0.22925,0.50772,0.11717,0.84281,1.00692,0.70297,2.14696,0.92422, 0.7278 ,1.40593]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0305712728536303,0.5767443124370587,0.232
11,1,Smolyak,"[0.14092,0.8022 ,0.07455,0.98689,0.77224,0.19872,0.00552,0.81546,0.70686, 0.72901,0.77127]","[0.18375,0.88958,0.28754,2.14191,1.5468 ,0.82117,0.15773,0.77174,0.80699, 1.81061,1.58218]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0258568260469141,0.597521744771013,0.232
11,1,Smolyak,"[0.88721,0.47221,0.11959,0.71324,0.76079,0.56128,0.77097,0.4938 ,0.52273, 0.42754,0.02542]","[0.28075,0.08178,1.65605,0.81801,1.32339,2.36165,0.6487 ,1.06789,1.96608, 0.59537,0.20032]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0762005543662913,0.4830978597994401,0.232
11,1,Smolyak,"[0.28975,0.16122,0.9297 ,0.80812,0.6334 ,0.87146,0.80367,0.18657,0.89256, 0.53934,0.80744]","[2.04708,0.72646,0.25141,0.52071,0.97571,1.86872,1.9663 ,0.01588,1.16678, 0.95356,0.5074 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0345212685140066,0.6468072224831487,0.232
11,1,Smolyak,"[0.11987,0.33762,0.94291,0.3232 ,0.51879,0.70302,0.36363,0.97178,0.96245, 0.25178,0.49725]","[0.86029,0.81443,0.10547,1.7429 ,1.43729,0.14719,0.79672,2.59697,0.68497, 0.41429,1.39947]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0806427399718571,0.5378699553922018,0.232
11,1,Smolyak,"[0.98565,0.24206,0.67214,0.76162,0.23764,0.72822,0.36778,0.63231,0.63353, 0.53577,0.09029]","[2.17395,0.83486,0.48543,0.10612,1.53786,1.76343,0.04317,1.33277,0.58948, 1.67912,0.45381]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0530976664437248,0.6104311284436056,0.232
11,1,Smolyak,"[0.69094,0.38674,0.93673,0.13752,0.34107,0.11347,0.92469,0.87734,0.25794, 0.65998,0.81722]","[0.99113,0.94552,0.43175,0.16621,1.60169,1.60741,1.1302 ,0.60523,0.6234 , 1.29596,1.6015 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0270862440967567,0.6325094848887548,0.232
11,1,Smolyak,"[0.88709,0.77988,0.64203,0.08414,0.16163,0.89855,0.60643,0.0092 ,0.10147, 0.6635 ,0.00506]","[0.30509,1.04109,1.3127 ,1.23694,0.4255 ,1.35119,0.45012,0.61737,1.41629, 1.23252,1.6112 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0163034352673427,0.4107663102780243,0.232
11,1,Smolyak,"[0.65761,0.56831,0.09367,0.36772,0.2652 ,0.24399,0.97301,0.3931 ,0.89205, 0.63114,0.79481]","[1.00312,1.15134,0.98292,0.38965,1.44181,0.56034,0.04853,1.28818,0.35346, 1.87689,1.90377]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0578731055451867,0.6075002503743726,0.232
11,1,Smolyak,"[0.91486,0.37016,0.01546,0.92832,0.42818,0.96665,0.96362,0.85301,0.29445, 0.3851 ,0.85114]","[0.62185,0.33257,1.09252,1.83687,1.36571,1.11854,0.19067,1.20673,1.94263, 0.27486,1.01704]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0179470767756154,0.6097801418933243,0.232
11,1,Smolyak,"[0.87737,0.74077,0.69702,0.70248,0.35949,0.29359,0.80936,0.81011,0.86707, 0.91324,0.51134]","[0.95787,1.5247 ,1.2414 ,1.34072,1.51992,1.69986,0.64555,0.71734,0.1795 , 1.10448,0.06865]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0362468498759813,0.6564666028440567,0.232
11,1,Smolyak,"[0.4656 ,0.54264,0.28654,0.59083,0.0305 ,0.03735,0.8226 ,0.36019,0.12706, 0.52224,0.76999]","[0.45424,1.31101,0.17963,0.10878,1.11835,1.13788,1.34161,1.52822,2.05389, 1.08667,0.67973]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0269907281865186,0.7694195814539769,0.232
11,1,Smolyak,"[0.79519,0.27083,0.43897,0.07846,0.02535,0.96265,0.83598,0.69597,0.40895, 0.17329,0.15644]","[0.46028,1.01022,1.31439,1.21434,0.5149 ,1.75633,1.35725,1.01965,1.12517, 0.77179,0.45566]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0227004916236529,0.6003879576808593,0.232
11,1,Smolyak,"[0.35597,0.75785,0.01439,0.11607,0.046  ,0.04073,0.85546,0.70366,0.47417, 0.09783,0.49162]","[1.01418,0.371  ,0.92931,0.8536 ,1.31915,1.36037,0.09704,0.80242,1.34059, 1.07772,1.83461]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0163031385362188,0.567606590474204,0.232
11,1,Smolyak,"[0.65869,0.16293,0.07057,0.64242,0.02651,0.58578,0.94023,0.57547,0.38817, 0.64329,0.45825]","[1.22452,2.11292,0.86653,2.15719,2.03187,0.43941,0.15567,0.22618,0.0409 , 0.21196,1.53287]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.034127121190343,0.6133995159488992,0.232
11,1,Smolyak,"[0.07119,0.31898,0.84488,0.02327,0.81447,0.28185,0.11816,0.69674,0.62894, 0.87747,0.73507]","[1.33036,0.46698,0.2938 ,1.24283,1.33592,1.64003,0.68319,0.61597,1.28554, 0.56429,1.5411 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0230597827903131,0.5532605517218577,0.232
11,1,Smolyak,"[0.85841,0.42899,0.75087,0.75454,0.10312,0.90255,0.50525,0.82646,0.32005, 0.89552,0.3892 ]","[0.02166,1.80975,0.18247,0.63827,1.89906,1.90015,1.14623,1.26297,0.89639, 0.58609,0.65696]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0337102190387333,0.673550420553087,0.232
11,1,Smolyak,"[0.67252,0.75237,0.79158,0.78962,0.09121,0.49442,0.05756,0.54953,0.44153, 0.8877 ,0.35092]","[0.30601,0.37377,1.99055,1.61599,0.26433,0.21985,1.83229,0.1902 ,2.1483 , 1.84608,0.21264]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0411123531498859,0.7046022469976385,0.232
11,1,Smolyak,"[0.08484,0.98664,0.37427,0.37064,0.8128 ,0.94725,0.986  ,0.75338,0.37626, 0.0835 ,0.77715]","[1.56908,1.19204,2.5468 ,0.31246,1.38425,0.0319 ,1.31691,0.15821,0.33387, 0.33024,1.82424]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0224714892216715,0.6463860652019399,0.232
11,1,Smolyak,"[0.74604,0.58337,0.96217,0.37487,0.28571,0.8686 ,0.2236 ,0.96322,0.01215, 0.96988,0.04316]","[1.41266,0.83652,1.57407,0.11698,0.87798,1.53656,0.82922,0.99773,1.10291, 0.72055,0.99482]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0119022624348105,0.5098124281756089,0.232
11,1,Smolyak,"[0.58431,0.90116,0.04545,0.28096,0.95041,0.89026,0.45566,0.62013,0.27738, 0.18812,0.4637 ]","[0.62892,1.03882,0.13836,1.73428,1.75531,1.24263,0.95417,0.55091,1.44844, 1.21872,0.28943]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0292477324748748,0.7301887181557711,0.232
11,1,Smolyak,"[0.91093,0.82254,0.9498 ,0.72572,0.61342,0.41824,0.93273,0.86606,0.04522, 0.02637,0.37646]","[1.32472,1.61354,0.24583,0.97101,0.6225 ,1.58517,1.37631,1.37011,0.766  , 0.67796,0.44684]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0182981204968533,0.489710796264073,0.232
11,1,Smolyak,"[0.05638,0.86472,0.8129 ,0.99972,0.99664,0.55543,0.76899,0.94477,0.84965, 0.24735,0.45054]","[0.25174,1.85949,1.18146,0.44564,1.30918,1.20476,0.69808,0.22133,1.30893, 1.01411,1.50529]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0208380301021413,0.5707415679969995,0.232
11,1,Smolyak,"[0.52016,0.85218,0.55191,0.56094,0.87665,0.40348,0.13402,0.02878,0.75514, 0.62031,0.70408]","[0.50011,0.32025,0.03416,0.8233 ,1.38533,0.92112,1.02734,2.12327,0.81782, 1.20702,1.84028]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0333281185331122,0.6486721400213061,0.232
11,1,Smolyak,"[0.39654,0.62209,0.86236,0.94952,0.14707,0.92659,0.49212,0.25824,0.45914, 0.98003,0.49262]","[1.20774,2.32694,0.88223,0.2787 ,0.47347,0.4704 ,0.55805,0.51001,2.3544 , 0.66818,1.26989]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.2537706499275882,0.8836964679891974,0.232
11,1,Smolyak,"[0.89679,0.47396,0.66756,0.17232,0.19229,0.04087,0.16894,0.27859,0.17701, 0.0887 ,0.12064]","[0.9103 ,0.40763,0.71964,0.99453,1.36392,0.07766,1.57929,1.24046,0.16152, 1.72581,1.81924]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0282943819661577,0.6988256071373157,0.232
11,1,Smolyak,"[0.06108,0.27688,0.8062 ,0.74826,0.18452,0.20935,0.37047,0.48452,0.61825, 0.36891,0.46253]","[1.63834,0.0804 ,0.5533 ,1.56355,1.96215,1.12152,1.16631,0.2349 ,0.98066, 1.16741,0.53146]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0375351961541352,0.6064107347589303,0.232
11,1,Smolyak,"[0.26924,0.37728,0.02007,0.32208,0.21145,0.3275 ,0.11976,0.89053,0.59359, 0.6791 ,0.78917]","[1.1241 ,0.19603,1.2113 ,1.32346,1.68114,0.97349,0.28772,0.63998,0.81884, 1.45669,1.28724]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0302720526648187,0.6403085324102052,0.232
11,1,Smolyak,"[0.3561 ,0.98652,0.60577,0.23723,0.10178,0.15286,0.24596,0.16068,0.18657, 0.2851 ,0.17337]","[1.56228,0.13978,0.91376,0.71496,1.71142,0.19519,0.69311,1.68894,1.50782, 1.42344,0.4493 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0331894194293855,0.5925866115613131,0.232
11,1,Smolyak,"[0.17089,0.66864,0.92938,0.55676,0.57161,0.27998,0.76949,0.18704,0.32368, 0.42544,0.50761]","[0.75567,0.35798,1.9035 ,0.89975,1.81191,0.4812 ,1.49987,1.66025,0.16155, 1.0493 ,0.41901]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0421884535833607,0.6018241919136416,0.232
11,1,Smolyak,"[0.06337,0.98996,0.32235,0.80987,0.25464,0.6815 ,0.76023,0.59564,0.47158, 0.41184,0.34887]","[1.47676,1.31962,1.53315,0.19747,1.16114,1.49076,0.28793,0.10564,1.17743, 0.91267,1.33743]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0280612792528138,0.6071478415074891,0.232
11,1,Smolyak,"[0.13977,0.79527,0.20163,0.16366,0.16427,0.81457,0.6652 ,0.52307,0.35883, 0.8772 ,0.39245]","[1.57415,0.84652,0.72663,0.89191,0.58096,1.44116,0.96909,0.44764,1.73411, 0.74003,1.0478 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0297009129955655,0.5643738283165656,0.232
11,1,Smolyak,"[0.90647,0.62424,0.1169 ,0.93983,0.62771,0.33491,0.13927,0.79403,0.62007, 0.53346,0.89389]","[1.53521,0.29527,0.60685,0.48375,1.44828,0.06528,1.10944,1.48432,1.70685, 0.66595,1.59879]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0265429736075218,0.6565082520470814,0.232
11,1,Smolyak,"[0.11063,0.84645,0.12749,0.39729,0.7973 ,0.14992,0.22925,0.72225,0.72004, 0.64115,0.69395]","[1.1131 ,0.51643,0.709  ,0.37245,1.86318,1.1965 ,0.82212,0.94755,1.94283, 0.31452,1.20233]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0328933923895041,0.5610651400046427,0.232
11,1,Smolyak,"[0.50589,0.61145,0.01811,0.87212,0.93212,0.56513,0.69665,0.9225 ,0.70724, 0.15254,0.57629]","[0.94523,0.66078,1.14735,1.4557 ,1.44199,0.70239,0.17642,1.53434,1.30696, 0.19422,1.43463]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0222834124343131,0.5463419467259609,0.232
11,1,Smolyak,"[0.8699 ,0.51884,0.59128,0.399  ,0.05476,0.3352 ,0.80285,0.00463,0.3335 , 0.39817,0.5374 ]","[2.14625,0.80811,0.80953,1.72077,1.05514,0.52406,1.05565,0.32865,0.41155, 1.16282,0.97746]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0412055127579279,0.5151664845973084,0.232
11,1,Smolyak,"[0.91485,0.36239,0.58059,0.63226,0.01309,0.66354,0.17804,0.96107,0.14866, 0.41462,0.08535]","[2.22702,1.12191,1.33009,0.14985,1.67541,0.46893,2.00626,0.45828,0.426  , 0.08165,1.0546 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0239240260779135,0.6351488230312996,0.232
11,1,Smolyak,"[0.56484,0.06571,0.77553,0.45329,0.52439,0.44076,0.40076,0.55964,0.15524, 0.18193,0.86179]","[2.33955,0.92312,0.6695 ,1.59248,1.01072,0.06278,0.38613,1.77045,1.62938, 0.067  ,0.54889]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0806044630535708,0.5750179560781511,0.232
11,1,Smolyak,"[0.23107,0.67189,0.01971,0.10411,0.79992,0.17854,0.65275,0.23818,0.09944, 0.24317,0.72227]","[2.10171,2.03913,0.97554,1.64091,0.50347,0.72001,2.20152,0.03193,0.21002, 0.5106 ,0.06517]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.030812644276616,0.6490418837280988,0.232
11,1,Smolyak,"[0.18144,0.58304,0.42142,0.89267,0.81744,0.34182,0.25942,0.37969,0.59029, 0.26806,0.62415]","[0.68292,0.92084,0.72748,0.49118,1.58207,1.27373,0.23372,1.44865,0.81306, 1.49216,1.3342 ]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.1346391528193189,0.4858389134877565,0.232
11,1,Smolyak,"[0.42521,0.02247,0.26868,0.54163,0.63348,0.25789,0.13936,0.83493,0.9844 , 0.52569,0.17168]","[0.67676,0.04571,2.27228,0.29264,1.4328 ,0.6811 ,1.37728,1.61896,2.06213, 0.51301,0.02733]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0344324441593687,0.6792232011421748,0.232
11,1,Smolyak,"[0.13689,0.90002,0.87389,0.59741,0.60052,0.66504,0.17537,0.91441,0.41877, 0.38314,0.51892]","[0.13138,0.46514,2.06448,0.23161,1.68718,0.68631,1.08896,0.80755,0.99491, 2.01136,0.83113]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.045395392105675,0.7299622157412887,0.232
11,1,Smolyak,"[0.5664 ,0.47605,0.66367,0.93683,0.73257,0.21494,0.03118,0.26226,0.59508, 0.05143,0.49637]","[1.23963,0.69422,1.60117,0.2214 ,0.15606,1.51243,1.02913,1.4298 ,0.90313, 0.51177,1.70126]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0687049417221991,0.5982539582926786,0.232
11,1,Smolyak,"[0.79942,0.6947 ,0.27215,0.59023,0.36097,0.09158,0.91731,0.13682,0.95024, 0.44601,0.18513]","[0.83935,1.3521 ,1.13414,1.24927,1.02038,1.07226,1.31531,0.38671,0.75807, 0.34263,1.52979]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0234695887993229,0.5590878203410636,0.232
11,1,Smolyak,"[0.94406,0.03943,0.70558,0.92525,0.18058,0.56795,0.91549,0.03395,0.69742, 0.29735,0.9244 ]","[1.7151 ,1.66778,0.83757,1.52255,1.49166,0.5636 ,1.46404,0.06536,1.05314, 0.40625,0.21295]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0219139840298455,0.7527607144660172,0.232
11,1,Smolyak,"[0.07695,0.69629,0.33987,0.72477,0.06536,0.31529,0.53949,0.79072,0.31875, 0.62589,0.88598]","[1.0831 ,0.4097 ,0.04291,1.53022,0.03741,1.53831,0.93023,1.65151,1.4048 , 1.75504,0.61679]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0446746014667348,0.7671081125939235,0.232
11,1,Smolyak,"[0.76719,0.40193,0.47988,0.62751,0.87368,0.98408,0.76827,0.41777,0.42136, 0.73758,0.23878]","[0.31798,1.02071,0.82676,0.85287,0.6724 ,0.12116,0.05145,2.84297,1.23126, 1.10621,1.95624]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.1777636654455641,0.6766013616572757,0.232
11,1,Smolyak,"[0.21825,0.94996,0.78635,0.08941,0.41758,0.87912,0.94473,0.4674 ,0.61341, 0.16703,0.99117]","[0.52132,2.1214 ,1.46188,1.36757,1.15369,0.51907,0.39724,0.49615,0.41954, 1.75427,0.78788]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,ZHOU,0.0234739478463547,0.6890096018348397,0.232
11,1,Smolyak,"[0.05784,0.9691 ,0.88379,0.92775,0.99491,0.1739 ,0.39624,0.75824,0.69602, 0.1539 ,0.81583]","[0.46003,0.45875,1.10062,1.21533,1.18898,0.18752,1.7985 ,0.54439,0.26546, 1.82164,1.95877]",11.0,SPARSE,CHEBYSHEV,TASMANIAN,23,42,CONTINUOUS,0.0177458081488956,0.0859321836571264,0.232
